UserID,Time,TaskLoad,Engagement
004,1661806484.004,0.877,0.613
004,1661806484.504,1.87,0.524
004,1661806485.004,1.179,0.53
004,1661806485.504,2.277,0.54
004,1661806486.004,1.889,0.236
004,1661806486.504,3.469,0.253
004,1661806487.004,2.96,0.161
004,1661806487.504,2.654,0.26
004,1661806488.004,1.657,0.262
004,1661806488.504,1.546,0.34
004,1661806489.004,1.021,0.386
004,1661806489.504,1.81,0.337
004,1661806490.004,1.883,0.307
004,1661806490.504,1.105,0.254
004,1661806491.004,1.415,0.258
004,1661806491.504,1.809,0.37
004,1661806492.004,1.01,0.275
004,1661806492.504,1.087,0.393
004,1661806493.005,1.6,0.416
004,1661806493.505,1.364,0.315
004,1661806494.005,1.75,0.23
004,1661806494.505,1.243,0.271
004,1661806495.005,5.725,0.221
004,1661806495.505,2.016,0.222
004,1661806496.005,1.827,0.284
004,1661806496.505,1.316,0.341
004,1661806497.005,1.117,0.272
004,1661806497.505,10.551,0.103
004,1661806498.005,1.901,0.274
004,1661806498.505,0.886,0.34
004,1661806499.005,1.574,0.219
004,1661806499.505,1.576,0.236
004,1661806500.005,1.21,0.469
004,1661806500.505,2.125,0.182
004,1661806501.005,1.169,0.303
004,1661806501.505,1.06,0.363
004,1661806502.005,1.984,0.295
004,1661806502.505,2.847,0.338
004,1661806503.006,4.902,0.149
004,1661806503.506,1.271,0.416
004,1661806504.006,0.872,1.516
004,1661806504.506,1.778,0.555
004,1661806505.006,2.768,0.466
004,1661806505.506,2.604,0.364
004,1661806506.006,1.632,0.292
004,1661806506.506,3.788,0.294
004,1661806507.006,1.078,0.341
004,1661806507.506,1.618,0.461
004,1661806508.006,10.39,0.118
004,1661806508.506,1.635,0.257
004,1661806509.006,2.029,0.334
004,1661806509.506,1.569,0.267
004,1661806510.006,2.709,0.366
004,1661806510.506,2.222,0.292
004,1661806511.006,2.02,0.842
004,1661806511.506,2.112,0.304
004,1661806512.006,0.783,0.618
004,1661806512.506,1.463,0.287
004,1661806513.007,4.787,0.23
004,1661806513.507,1.45,0.327
004,1661806514.007,3.73,0.14
004,1661806514.507,3.192,0.16
004,1661806515.007,1.806,0.308
004,1661806515.507,1.692,0.603
004,1661806516.007,1.835,0.523
004,1661806516.507,1.041,0.21
004,1661806517.007,1.097,0.319
004,1661806517.507,1.988,0.273
