Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652459418.9739063,-0.7546468074,1692.384971989,640.3103727267,-0.3535679793,-0.1281507223,0.4899253697,0.1808873237,-0.1323607188
1652459419.9739063,-0.21433297,1837.2854034025,653.226522692,-0.2229895658,-0.0972312566,-0.8490160662,-0.4731236614,-0.5316745181
1652459420.9739063,-0.2733649942,1653.1556074775,642.0640432099,-0.3202044314,0.0330340897,1.0081186294,0.5205763596,0.3673768176
1652459421.9739063,-0.3212309613,1608.6989501909,652.1739429899,-0.3447289822,0.0414309849,0.1183656699,0.0798983274,-0.1014326457
1652459422.9739063,-0.621745595,1690.9020647095,671.4522721297,-0.165068259,0.0414309849,-1.3625102292,-0.6605396221,-0.9921279121
1652459423.9739063,-0.8633731222,1813.3065875111,737.1890737738,0.0927995566,0.0414309849,-0.6983825301,-0.3284757726,-0.7808778262
1652459424.9739063,0.2532729098,1647.6838877426,980.4601459569,1.3149842295,0.0414309849,-0.2669545638,-0.1127617894,-0.006840827
1652459425.9739063,-0.2277831333,1458.1032168188,619.3980059541,-0.2676581766,0.0414309849,-0.1989344829,-0.078751749,-0.2133588081
1652459426.9739063,-0.3053581635,1630.9908003897,632.4402297856,-0.3183316881,0.0414309849,-0.4219550917,-0.1902620534,-0.3636566276
1652459427.9739063,-0.4241759431,1849.3317113038,632.1699331555,-0.3536837813,0.0414309849,-0.007078984,0.0171760004,-0.2156274635
1652459428.9739063,-0.482500532,1893.9050918171,653.5732029281,-0.3675245856,0.0414309849,1.2985953982,0.6700131916,0.4080474331
1652459429.9739063,-0.5597914035,1933.6987554961,653.399522023,-0.3594245336,0.0414309849,-0.265570597,-0.112069806,-0.4126810002
1652459430.9739063,-0.6269350886,1833.8159780484,690.1124482974,-0.3007142245,0.0414309849,1.0801241133,0.5607775491,0.2265945123
1652459431.9739063,-1.1494711599,1709.0606307703,1004.9683720121,1.6413025806,0.0414309849,-0.645760584,-0.3021647995,-0.8976158719
1652459432.9739063,-0.2881607517,1758.9646192393,661.4894003784,-0.2981605038,0.0414309849,-1.2169790989,-0.587774057,-0.7525699253
1652459433.9739063,-0.5703696703,1725.0528868288,637.0560183719,-0.2824461852,0.0414309849,0.4729182995,0.2571746422,-0.0487256854
1652459434.9739063,-0.2702515593,2262.0058109842,928.3971582849,-0.0268317448,0.0414309849,-0.4993799475,-0.2289744813,-0.3848157534
1652459435.9739063,0.2666291821,2669.2168389764,1321.3467604507,0.0070629067,0.0414309849,-0.8045160727,-0.3815425439,-0.2689434453
1652459436.9739063,1.0939750483,1729.2290217837,1178.3493937402,-0.070175432,0.0414309849,-0.6489130777,-0.3037410464,0.2225309853
